sep=;
timestamp;AX;AY;AZ;GX;GY;GZ;MX;MY;MZ;Roll;Pitch;Yaw;Q1;Q2;Q3;Q4;LABEL
1549132054.3507574;  9.718;  0.278;  0.462;  0.052;  0.017;  0.004;-18.900;-19.500; -2.700;149.143;-87.040;288.576;  0.544;  0.460;  0.556;  0.426;FREE
1549132054.3707564;  9.747;  0.259;  0.347;  0.053;  0.019;  0.003;-17.400;-19.800; -3.000;147.858;-87.108;290.154;  0.543;  0.461;  0.555;  0.428;FREE
1549132054.3927572;  9.755;  0.287;  0.429;  0.053;  0.029;  0.004;-17.400;-19.800; -3.000;147.278;-87.055;290.878;  0.543;  0.462;  0.554;  0.428;FREE
1549132054.40976;  9.783;  0.276;  0.441;  0.053;  0.029;  0.005;-17.400;-19.800; -3.000;147.637;-87.019;290.627;  0.542;  0.463;  0.554;  0.428;FREE
1549132054.4297605;  9.767;  0.263;  0.412;  0.053;  0.011;  0.005;-17.400;-19.800; -3.000;147.822;-87.039;290.559;  0.542;  0.463;  0.553;  0.429;FREE
1549132054.4497597;  9.746;  0.280;  0.422;  0.055;  0.004;  0.003;-17.400;-19.800; -3.000;147.254;-87.034;291.205;  0.541;  0.464;  0.553;  0.429;FREE
1549132054.469763;  9.765;  0.266;  0.405;  0.054;  0.015;  0.005;-17.400;-19.800; -4.200;147.310;-87.051;290.557;  0.544;  0.461;  0.555;  0.426;FREE
1549132054.48976;  9.779;  0.222;  0.409;  0.053;  0.024;  0.004;-17.400;-19.800; -4.200;149.248;-87.101;288.157;  0.545;  0.458;  0.557;  0.425;FREE
1549132054.50976;  9.800;  0.260;  0.475;  0.052;  0.013;  0.005;-17.400;-19.800; -4.200;149.899;-87.043;287.061;  0.546;  0.456;  0.560;  0.422;FREE
1549132054.52976;  9.787;  0.243;  0.399;  0.053;  0.002;  0.004;-17.400;-19.800; -4.200;149.725;-87.088;286.957;  0.547;  0.455;  0.560;  0.421;FREE
1549132054.5497575;  9.759;  0.288;  0.412;  0.052;  0.011;  0.005;-17.400;-19.800; -4.200;148.000;-87.061;288.431;  0.549;  0.454;  0.561;  0.420;FREE
1549132054.5697594;  9.786;  0.265;  0.466;  0.053;  0.021;  0.006;-18.000;-19.200; -3.600;148.898;-87.014;287.525;  0.548;  0.454;  0.561;  0.420;FREE
1549132054.589763;  9.817;  0.253;  0.428;  0.052;  0.009;  0.006;-18.000;-19.200; -3.600;149.263;-87.030;287.199;  0.548;  0.454;  0.561;  0.420;FREE
1549132054.6097603;  9.763;  0.253;  0.368;  0.053;  0.006;  0.006;-18.000;-19.200; -3.600;148.344;-87.102;288.210;  0.548;  0.454;  0.561;  0.421;FREE
1549132054.6297598;  9.692;  0.288;  0.409;  0.053;  0.007;  0.003;-18.000;-19.200; -3.600;146.983;-87.075;289.587;  0.549;  0.455;  0.560;  0.420;FREE
1549132054.6497595;  9.806;  0.264;  0.429;  0.052;  0.027;  0.004;-18.000;-19.200; -3.600;147.704;-87.061;288.872;  0.548;  0.455;  0.560;  0.420;FREE
1549132054.66976;  9.782;  0.282;  0.421;  0.053;  0.016;  0.005;-18.000;-20.400; -3.600;147.225;-87.042;289.511;  0.548;  0.456;  0.560;  0.421;FREE
1549132054.68976;  9.720;  0.277;  0.386;  0.053;  0.000;  0.004;-18.000;-20.400; -3.600;146.396;-87.070;290.500;  0.548;  0.456;  0.559;  0.422;FREE
1549132054.70976;  9.746;  0.282;  0.362;  0.052;  0.000;  0.003;-18.000;-20.400; -3.600;145.225;-87.110;291.826;  0.547;  0.457;  0.558;  0.423;FREE
1549132054.7297597;  9.722;  0.280;  0.414;  0.051;  0.018;  0.002;-18.000;-20.400; -3.600;145.554;-87.091;291.568;  0.547;  0.457;  0.557;  0.423;FREE
1549132054.7497597;  9.712;  0.313;  0.468;  0.052;  0.018;  0.003;-18.000;-20.400; -3.600;145.407;-86.991;291.707;  0.547;  0.458;  0.558;  0.422;FREE
1549132054.7697597;  9.727;  0.263;  0.451;  0.052;  0.001;  0.004;-18.600;-19.800; -3.600;146.985;-86.995;290.061;  0.547;  0.457;  0.558;  0.422;FREE
1549132054.7897587;  9.694;  0.269;  0.305;  0.053;  0.008;  0.005;-18.600;-19.800; -3.600;145.143;-87.118;292.003;  0.547;  0.457;  0.557;  0.423;FREE
1549132054.8097587;  9.732;  0.274;  0.363;  0.051;  0.024;  0.006;-18.600;-19.800; -3.600;144.915;-87.146;292.249;  0.547;  0.457;  0.557;  0.423;FREE
1549132054.8297584;  9.737;  0.283;  0.441;  0.052;  0.028;  0.004;-18.600;-19.800; -3.600;145.768;-87.088;291.323;  0.547;  0.457;  0.558;  0.423;FREE
1549132054.8497598;  9.739;  0.269;  0.420;  0.052;  0.009;  0.004;-18.600;-19.800; -3.600;146.414;-87.084;290.645;  0.547;  0.457;  0.558;  0.423;FREE
1549132054.869759;  9.686;  0.274;  0.379;  0.052;  0.002;  0.002;-19.800;-19.200; -3.000;145.822;-87.111;291.494;  0.546;  0.458;  0.557;  0.424;FREE
1549132054.8897583;  9.750;  0.289;  0.441;  0.051;  0.031;  0.003;-19.800;-19.200; -3.000;146.134;-87.049;291.312;  0.546;  0.459;  0.556;  0.424;FREE
