sep=;
timestamp;AX;AY;AZ;GX;GY;GZ;MX;MY;MZ;Roll;Pitch;Yaw;Q1;Q2;Q3;Q4;LABEL
1549132069.8368857; -9.939;  0.037;  0.197;  0.053;  0.000;  0.003;-18.600; 32.399; 37.200;169.702; 88.953;128.108;  0.655;  0.254;  0.666;  0.247;FREE
1549132069.856889; -9.909;  0.029;  0.165;  0.052;  0.007;  0.003;-18.600; 32.399; 37.200;169.055; 88.978;127.662;  0.656;  0.253;  0.666;  0.246;FREE
1549132069.8778834; -9.921;  0.002;  0.201;  0.053;  0.003;  0.004;-18.900; 32.700; 35.100;173.039; 88.924;131.428;  0.655;  0.254;  0.666;  0.248;FREE
1549132069.8968844; -9.953;  0.008;  0.208;  0.052;  0.006;  0.004;-18.900; 32.700; 35.100;176.464; 88.876;134.677;  0.654;  0.255;  0.666;  0.249;FREE
1549132069.9168966; -9.873;  0.037;  0.217;  0.052;  0.009;  0.003;-18.900; 32.700; 35.100;174.977; 88.851;133.067;  0.653;  0.255;  0.666;  0.249;FREE
1549132069.9368846; -9.934;  0.001;  0.186;  0.052;  0.011;  0.003;-18.900; 32.700; 35.100;175.990; 88.870;133.960;  0.653;  0.256;  0.666;  0.250;FREE
1549132069.9568844; -9.921;  0.003;  0.177;  0.054;  0.012;  0.003;-18.900; 32.700; 35.100;176.057; 88.905;133.931;  0.653;  0.256;  0.665;  0.251;FREE
1549132069.9768841; -9.889;  0.045;  0.193;  0.053;  0.007;  0.003;-19.200; 32.399; 36.000;173.159; 88.914;131.171;  0.654;  0.256;  0.666;  0.250;FREE
1549132069.999899; -9.952;  0.015;  0.271;  0.052;  0.011;  0.004;-19.200; 32.399; 36.000;176.592; 88.772;134.726;  0.653;  0.255;  0.667;  0.249;FREE
1549132070.0198898; -9.926;  0.020;  0.210;  0.053;  0.028;  0.003;-19.200; 32.399; 36.000;175.700; 88.797;133.916;  0.653;  0.255;  0.667;  0.248;FREE
1549132070.0398905; -9.931;  0.038;  0.137;  0.053;  0.022;  0.002;-19.200; 32.399; 36.000;170.734; 88.941;129.002;  0.655;  0.255;  0.666;  0.248;FREE
1549132070.0568836; -9.940;  0.015;  0.190;  0.053;  0.002;  0.003;-19.200; 32.399; 36.000;172.249; 88.923;130.563;  0.654;  0.254;  0.666;  0.248;FREE
1549132070.0778868; -9.957;  0.005;  0.228;  0.052;  0.005;  0.004;-18.300; 33.300; 35.700;176.415; 88.839;134.564;  0.653;  0.255;  0.666;  0.249;FREE
1549132070.0968914; -9.951;  0.014;  0.193;  0.052;  0.020;  0.002;-18.300; 33.300; 35.700;175.838; 88.866;133.852;  0.653;  0.256;  0.666;  0.250;FREE
1549132070.116889; -9.937;  0.009;  0.173;  0.053;  0.022;  0.002;-18.300; 33.300; 35.700;175.247; 88.919;133.147;  0.653;  0.256;  0.665;  0.251;FREE
1549132070.1368837; -9.971;  0.005;  0.172;  0.053;  0.007;  0.003;-18.300; 33.300; 35.700;175.347; 88.945;133.154;  0.653;  0.257;  0.665;  0.251;FREE
1549132070.1568892; -9.945;  0.011;  0.203;  0.053;  0.003;  0.004;-18.300; 33.300; 35.700;178.330; 88.898;136.066;  0.653;  0.257;  0.665;  0.252;FREE
1549132070.1778831; -9.982;  0.033;  0.264;  0.051;  0.009;  0.003;-18.300; 33.300; 35.100;178.050; 88.792;135.662;  0.652;  0.258;  0.666;  0.252;FREE
1549132070.1968832; -9.944;  0.004;  0.167;  0.052;  0.018;  0.003;-18.300; 33.300; 35.100;176.733; 88.876;134.211;  0.652;  0.259;  0.665;  0.253;FREE
1549132070.2168891; -9.922;  0.032;  0.156;  0.054;  0.009;  0.003;-18.300; 33.300; 35.100;173.146; 88.956;130.523;  0.653;  0.260;  0.664;  0.253;FREE
1549132070.2368848; -9.961;  0.013;  0.226;  0.054;  0.005;  0.004;-18.300; 33.300; 35.100;175.514; 88.878;132.825;  0.652;  0.260;  0.664;  0.254;FREE
1549132070.256882; -9.993;  0.015;  0.221;  0.053;  0.013;  0.002;-18.300; 33.300; 35.100;176.254; 88.842;133.510;  0.651;  0.260;  0.664;  0.254;FREE
1549132070.2778857; -9.967;  0.025;  0.207;  0.052;  0.014;  0.002;-19.800; 33.600; 36.000;175.288; 88.846;132.596;  0.652;  0.260;  0.664;  0.254;FREE
1549132070.2968843; -9.913;  0.021;  0.197;  0.053;  0.004;  0.003;-19.800; 33.600; 36.000;174.618; 88.854;131.964;  0.652;  0.260;  0.664;  0.253;FREE
1549132070.3168817;-10.001;  0.026;  0.250;  0.053;  0.004;  0.005;-19.800; 33.600; 36.000;175.549; 88.773;132.943;  0.651;  0.260;  0.665;  0.253;FREE
1549132070.336887; -9.953;  0.045;  0.241;  0.054;  0.017;  0.002;-19.800; 33.600; 36.000;174.053; 88.747;131.490;  0.651;  0.260;  0.665;  0.253;FREE
1549132070.3568838; -9.890;  0.035;  0.148;  0.053;  0.019;  0.002;-19.800; 33.600; 36.000;170.067; 88.877;127.508;  0.652;  0.260;  0.664;  0.253;FREE
1549132070.3778863; -9.927;  0.037;  0.199;  0.052;  0.005;  0.004;-18.900; 32.700; 35.100;169.888; 88.868;127.355;  0.652;  0.260;  0.664;  0.252;FREE
1549132070.396886; -9.978;  0.034;  0.215;  0.053;  0.002;  0.005;-18.900; 32.700; 35.100;170.569; 88.833;128.061;  0.652;  0.259;  0.665;  0.252;FREE
1549132070.4168823; -9.917;  0.074;  0.213;  0.052;  0.019;  0.003;-18.900; 32.700; 35.100;167.349; 88.833;124.873;  0.653;  0.260;  0.665;  0.252;FREE
1549132070.4368813; -9.879;  0.005;  0.051;  0.051;  0.027;  0.001;-18.900; 32.700; 35.100;162.737; 89.076;120.216;  0.654;  0.259;  0.663;  0.252;FREE
1549132070.4568825; -9.935;  0.022;  0.136;  0.052;  0.004;  0.001;-18.900; 32.700; 35.100;164.257; 89.102;121.731;  0.654;  0.259;  0.663;  0.253;FREE
1549132070.4778857; -9.925;  0.034;  0.209;  0.053;  0.006;  0.004;-19.200; 32.399; 35.400;168.457; 89.000;126.055;  0.654;  0.259;  0.664;  0.252;FREE
1549132070.4968846; -9.931;  0.026;  0.203;  0.053;  0.010;  0.004;-19.200; 32.399; 35.400;175.609; 88.929;133.283;  0.653;  0.258;  0.665;  0.252;FREE
1549132070.5168827; -9.868;  0.019;  0.192;  0.053;  0.028;  0.003;-19.200; 32.399; 35.400;178.757; 88.916;136.492;  0.653;  0.257;  0.665;  0.252;FREE
1549132070.5368824; -9.897;  0.035;  0.152;  0.051;  0.023;  0.002;-19.200; 32.399; 35.400;174.230; 89.009;132.020;  0.654;  0.257;  0.665;  0.251;FREE
1549132070.556881; -9.885;  0.020;  0.143;  0.052;  0.008;  0.004;-19.200; 32.399; 35.400;172.405; 89.061;130.231;  0.654;  0.257;  0.664;  0.251;FREE
1549132070.5778892; -9.884;  0.029;  0.247;  0.052;  0.000;  0.005;-20.699; 34.500; 33.900;174.974; 88.915;132.265;  0.652;  0.260;  0.664;  0.254;FREE
1549132070.5978873; -9.866;  0.026;  0.183;  0.052;  0.005;  0.004;-20.699; 34.500; 33.900;173.718; 88.928;130.560;  0.651;  0.263;  0.663;  0.256;FREE
1549132070.6198847; -9.915;  0.021;  0.153;  0.053;  0.011;  0.002;-20.699; 34.500; 33.900;172.077; 88.988;128.548;  0.651;  0.265;  0.662;  0.259;FREE
1549132070.6368835; -9.928;  0.017;  0.110;  0.053;  0.005;  0.004;-20.699; 34.500; 33.900;169.293; 89.093;125.451;  0.651;  0.266;  0.660;  0.260;FREE
1549132070.656885; -9.908;  0.019;  0.215;  0.053;  0.001;  0.005;-20.699; 34.500; 33.900;173.121; 88.989;129.064;  0.650;  0.268;  0.660;  0.262;FREE
1549132070.6778836; -9.882;  0.034;  0.192;  0.053;  0.006;  0.004;-18.300; 33.900; 35.700;172.394; 88.965;128.548;  0.650;  0.267;  0.661;  0.260;FREE
1549132070.6978867; -9.935;  0.029;  0.210;  0.053;  0.011;  0.002;-18.300; 33.900; 35.700;173.042; 88.920;129.367;  0.650;  0.266;  0.662;  0.259;FREE
1549132070.7178855; -9.892;  0.008;  0.159;  0.053;  0.013;  0.003;-18.300; 33.900; 35.700;173.074; 88.967;129.517;  0.651;  0.265;  0.662;  0.259;FREE
1549132070.7368834; -9.952;  0.025;  0.175;  0.052;  0.006;  0.004;-18.300; 33.900; 35.700;172.386; 88.976;128.931;  0.651;  0.264;  0.662;  0.258;FREE
1549132070.7568822; -9.956;  0.046;  0.271;  0.052;  0.009;  0.005;-18.300; 33.900; 35.700;173.920; 88.830;130.580;  0.650;  0.264;  0.663;  0.257;FREE
1549132070.7778833; -9.901;  0.021;  0.184;  0.053;  0.019;  0.002;-18.300; 33.900; 35.100;173.053; 88.872;129.678;  0.650;  0.264;  0.663;  0.257;FREE
1549132070.797884; -9.907;  0.019;  0.111;  0.052;  0.022;  0.003;-18.300; 33.900; 35.100;169.442; 89.022;126.017;  0.651;  0.264;  0.662;  0.258;FREE
1549132070.816888; -9.977;  0.027;  0.186;  0.053;  0.009;  0.005;-18.300; 33.900; 35.100;175.927; 88.974;132.469;  0.651;  0.264;  0.662;  0.259;FREE
