sep=;
timestamp;AX;AY;AZ;GX;GY;GZ;MX;MY;MZ;Roll;Pitch;Yaw;Q1;Q2;Q3;Q4;LABEL
1549132397.2255485;  0.171;  9.834;  0.568;  0.053;  0.015;  0.006;-24.300; 27.300; -4.500; 93.437;  1.111;186.610;  0.032;  0.048;  0.726;  0.684;FREE
1549132397.2425468;  0.202;  9.773;  0.633;  0.050;  0.013;  0.007;-24.300; 27.300; -4.500; 93.458;  1.141;186.589;  0.032;  0.048;  0.726;  0.684;FREE
1549132397.2625482;  0.207;  9.807;  0.642;  0.053;  0.013;  0.006;-24.300; 27.300; -4.500; 93.481;  1.170;186.563;  0.031;  0.048;  0.726;  0.684;FREE
1549132397.2826552;  0.204;  9.767;  0.628;  0.051;  0.012;  0.005;-24.300; 27.300; -4.500; 93.487;  1.182;186.558;  0.031;  0.048;  0.726;  0.684;FREE
1549132397.303545;  0.211;  9.745;  0.638;  0.048;  0.012;  0.005;-26.100; 25.500; -3.900; 93.507;  1.207;186.233;  0.029;  0.046;  0.726;  0.684;FREE
1549132397.3225513;  0.199;  9.767;  0.623;  0.057;  0.013;  0.006;-26.100; 25.500; -3.900; 93.496;  1.191;185.990;  0.028;  0.045;  0.726;  0.684;FREE
1549132397.3425496;  0.221;  9.779;  0.621;  0.055;  0.013;  0.006;-26.100; 25.500; -3.900; 93.488;  1.230;185.802;  0.026;  0.044;  0.726;  0.684;FREE
1549132397.3625503;  0.238;  9.768;  0.632;  0.049;  0.013;  0.005;-26.100; 25.500; -3.900; 93.500;  1.296;185.639;  0.025;  0.043;  0.727;  0.684;FREE
1549132397.3825493;  0.208;  9.783;  0.651;  0.055;  0.013;  0.004;-26.100; 25.500; -3.900; 93.522;  1.267;185.485;  0.024;  0.042;  0.727;  0.684;FREE
1549132397.40255;  0.177;  9.786;  0.616;  0.055;  0.014;  0.005;-24.900; 24.900; -2.100; 93.496;  1.171;184.627;  0.020;  0.036;  0.727;  0.684;FREE
1549132397.4225485;  0.244;  9.830;  0.641;  0.042;  0.014;  0.005;-24.900; 24.900; -2.100; 93.518;  1.269;183.915;  0.015;  0.032;  0.727;  0.684;FREE
1549132397.4425497;  0.199;  9.797;  0.705;  0.040;  0.013;  0.004;-24.900; 24.900; -2.100; 93.609;  1.227;183.268;  0.011;  0.028;  0.728;  0.684;FREE
1549132397.4625487;  0.178;  9.773;  0.645;  0.056;  0.013;  0.005;-24.900; 24.900; -2.100; 93.601;  1.151;182.818;  0.009;  0.024;  0.728;  0.684;FREE
