sep=;
timestamp;AX;AY;AZ;GX;GY;GZ;MX;MY;MZ;Roll;Pitch;Yaw;Q1;Q2;Q3;Q4;LABEL
1549132495.7760932;  0.032; -9.884; -1.323;  0.059;  0.016;  0.000; 33.900; 24.900; 32.700;-97.818;  0.200;319.515;  0.617;  0.706;  0.261;  0.226;FREE
1549132495.795091;  0.005; -9.878; -1.329;  0.062;  0.016;  0.002; 33.900; 24.900; 32.700;-97.801;  0.133;319.495;  0.617;  0.706;  0.261;  0.226;FREE
1549132495.818092;  0.067; -9.898; -1.338;  0.057;  0.013;  0.001; 33.900; 24.900; 32.700;-97.836;  0.204;319.450;  0.616;  0.706;  0.262;  0.226;FREE
1549132495.8350909;  0.002; -9.828; -1.323;  0.057;  0.012;  0.001; 33.900; 24.900; 32.700;-97.807;  0.121;319.444;  0.616;  0.706;  0.261;  0.227;FREE
1549132495.8560944;  0.038; -9.898; -1.353;  0.054;  0.014;  0.000; 32.100; 25.500; 31.500;-97.806;  0.014;319.415;  0.616;  0.706;  0.261;  0.227;FREE
1549132495.876093;  0.027; -9.864; -1.333;  0.048;  0.012;  0.003; 32.100; 25.500; 31.500;-97.823;  0.052;319.347;  0.616;  0.706;  0.262;  0.227;FREE
1549132495.8960915;  0.001; -9.814; -1.315;  0.050;  0.012;  0.000; 32.100; 25.500; 31.500;-97.798;  0.016;319.301;  0.616;  0.706;  0.262;  0.228;FREE
1549132495.9150898;  0.037; -9.814; -1.303;  0.051;  0.012;  0.001; 32.100; 25.500; 31.500;-97.786;  0.058;319.237;  0.616;  0.706;  0.262;  0.228;FREE
1549132495.9360933;  0.037; -9.847; -1.369;  0.048;  0.013;  0.003; 32.100; 25.500; 31.500;-97.872;  0.123;319.223;  0.616;  0.706;  0.263;  0.228;FREE
1549132495.9560947;  0.004; -9.813; -1.250;  0.045;  0.014;  0.002; 32.399; 26.400; 33.600;-97.713;  0.017;318.833;  0.615;  0.704;  0.264;  0.231;FREE
1549132495.9750915;  0.017; -9.890; -1.357;  0.050;  0.013;  0.002; 32.399; 26.400; 33.600;-97.785;  0.057;318.564;  0.615;  0.704;  0.266;  0.232;FREE
1549132495.999094;  0.009; -9.871; -1.365;  0.049;  0.012;  0.005; 32.399; 26.400; 33.600;-97.846;  0.070;318.359;  0.614;  0.704;  0.268;  0.233;FREE
1549132496.0150917;  0.031; -9.832; -1.344;  0.044;  0.011;  0.003; 32.399; 26.400; 33.600;-97.869;  0.101;318.173;  0.613;  0.704;  0.269;  0.233;FREE
1549132496.0360973;  0.007; -9.856; -1.369;  0.047;  0.012;  0.002; 32.399; 26.400; 33.600;-97.899;  0.064;318.058;  0.613;  0.704;  0.270;  0.234;FREE
1549132496.0560975;  0.033; -9.841; -1.341;  0.045;  0.013;  0.003; 33.000; 25.800; 31.800;-97.905;  0.095;318.371;  0.614;  0.704;  0.268;  0.232;FREE
1549132496.0760942;  0.019; -9.841; -1.264;  0.047;  0.014;  0.002; 33.000; 25.800; 31.800;-97.749;  0.023;318.602;  0.615;  0.704;  0.266;  0.232;FREE
1549132496.0960937;  0.000; -9.876; -1.298;  0.051;  0.012;  0.001; 33.000; 25.800; 31.800;-97.713;  0.038;318.794;  0.615;  0.704;  0.264;  0.231;FREE
1549132496.1180952;  0.021; -9.849; -1.346;  0.054;  0.012;  0.000; 33.000; 25.800; 31.800;-97.787;  0.021;318.967;  0.615;  0.705;  0.264;  0.230;FREE
1549132496.136096;  0.020; -9.888; -1.347;  0.050;  0.013;  0.001; 33.000; 25.800; 31.800;-97.801;  0.022;319.126;  0.615;  0.706;  0.263;  0.229;FREE
1549132496.1580923;  0.020; -9.926; -1.351;  0.046;  0.014;  0.004; 33.600; 25.800; 32.399;-97.833;  0.021;319.214;  0.616;  0.706;  0.262;  0.228;FREE
1549132496.1760917;  0.015; -9.861; -1.301;  0.046;  0.016;  0.003; 33.600; 25.800; 32.399;-97.781;  0.015;319.265;  0.616;  0.706;  0.262;  0.228;FREE
1549132496.1980922;  0.019; -9.855; -1.370;  0.044;  0.015;  0.005; 33.600; 25.800; 32.399;-97.860;  0.063;319.344;  0.616;  0.706;  0.262;  0.227;FREE
1549132496.2160912;  0.046; -9.860; -1.350;  0.042;  0.015;  0.004; 33.600; 25.800; 32.399;-97.892;  0.126;319.380;  0.616;  0.706;  0.262;  0.227;FREE
1549132496.236094;  0.007; -9.849; -1.302;  0.044;  0.015;  0.003; 33.600; 25.800; 32.399;-97.812;  0.068;319.402;  0.616;  0.706;  0.261;  0.227;FREE
1549132496.2560909;  0.016; -9.864; -1.253;  0.059;  0.013;  0.003; 33.000; 24.000; 33.600;-97.672;  0.038;319.026;  0.616;  0.705;  0.263;  0.230;FREE
1549132496.2770915;  0.051; -9.850; -1.358;  0.072;  0.011;  0.008; 33.000; 24.000; 33.600;-97.806;  0.091;318.747;  0.615;  0.705;  0.265;  0.230;FREE
1549132496.2960913;  0.000; -9.836; -1.306;  0.065;  0.012;  0.005; 33.000; 24.000; 33.600;-97.772;  0.043;318.523;  0.615;  0.704;  0.267;  0.232;FREE
1549132496.3160906;  0.040; -9.850; -1.386;  0.055;  0.012;  0.009; 33.000; 24.000; 33.600;-97.897;  0.134;318.364;  0.614;  0.704;  0.268;  0.232;FREE
1549132496.3360956;  0.056; -9.902; -1.307;  0.048;  0.014;  0.005; 33.000; 24.000; 33.600;-97.839;  0.160;318.186;  0.614;  0.703;  0.269;  0.233;FREE
1549132496.356092;  0.058; -9.822; -1.284;  0.052;  0.014;  0.004; 33.000; 25.800; 32.399;-97.782;  0.182;318.309;  0.614;  0.703;  0.269;  0.232;FREE
1549132496.3770936;  0.031; -9.859; -1.334;  0.051;  0.014;  0.001; 33.000; 25.800; 32.399;-97.796;  0.176;318.449;  0.615;  0.704;  0.268;  0.232;FREE
1549132496.3960915;  0.061; -9.868; -1.279;  0.049;  0.016;  0.000; 33.000; 25.800; 32.399;-97.730;  0.192;318.513;  0.615;  0.703;  0.267;  0.231;FREE
