sep=;
timestamp;AX;AY;AZ;GX;GY;GZ;MX;MY;MZ;Roll;Pitch;Yaw;Q1;Q2;Q3;Q4;LABEL
1549131460.959584;  0.073;  0.011;-10.272;  0.059;  0.012;  0.001; 19.500;  0.900; -5.700;179.823;  0.335;  2.353;  0.001;  0.999;  0.020;  0.002;FREE
1549131460.9795797;  0.094;  0.039;-10.287;  0.056;  0.009;  0.001; 19.500;  0.900; -5.700;179.862;  0.401;  2.424;  0.001;  0.999;  0.021;  0.003;FREE
1549131460.9995806;  0.025;  0.004;-10.268;  0.056;  0.009;  0.003; 18.900;  0.900; -5.700;179.858;  0.289;  2.484;  0.001;  0.999;  0.021;  0.002;FREE
1549131461.0195794;  0.075;  0.029;-10.210;  0.054;  0.012;  0.001; 18.900;  0.900; -5.700;179.881;  0.331;  2.543;  0.000;  0.999;  0.022;  0.002;FREE
1549131461.0395803;  0.082;  0.002;-10.226;  0.061;  0.012;  0.002; 18.900;  0.900; -5.700;179.859;  0.373;  2.578;  0.001;  0.999;  0.022;  0.003;FREE
1549131461.0599563;  0.017;  0.029;-10.169;  0.058;  0.011;  0.002; 18.900;  0.900; -5.700;179.885;  0.172;  2.615;  0.000;  0.999;  0.022;  0.001;FREE
1549131461.0789547;  0.090;  0.017;-10.236;  0.055;  0.014;  0.002; 18.900;  0.900; -5.700;179.887;  0.295;  2.643;  0.000;  0.999;  0.023;  0.002;FREE
1549131461.0999558;  0.076;  0.008;-10.255;  0.056;  0.011;  0.001; 18.900;  0.900; -6.300;179.879;  0.339;  2.663;  0.000;  0.999;  0.023;  0.002;FREE
1549131461.118956;  0.020;  0.007;-10.175;  0.060;  0.012;  0.001; 18.900;  0.900; -6.300;179.855;  0.240;  2.672;  0.001;  0.999;  0.023;  0.002;FREE
1549131461.1389563;  0.075;  0.008;-10.247;  0.059;  0.013;  0.001; 18.900;  0.900; -6.300;179.851;  0.301;  2.686;  0.001;  0.999;  0.023;  0.002;FREE
1549131461.159959;  0.055;  0.005;-10.242;  0.052;  0.012;  0.001; 18.900;  0.900; -6.300;179.838;  0.294;  2.692;  0.001;  0.999;  0.023;  0.002;FREE
1549131461.178955;  0.029;  0.039;-10.233;  0.058;  0.008;  0.001; 18.900;  0.900; -6.300;179.875;  0.233;  2.713;  0.001;  0.999;  0.023;  0.002;FREE
1549131461.1999547;  0.035;  0.003;-10.201;  0.058;  0.010;  0.001; 18.900;  2.100; -4.500;179.864;  0.210;  3.438;  0.001;  0.999;  0.030;  0.001;FREE
1549131461.2189574;  0.095;  0.020;-10.213;  0.056;  0.012;  0.001; 18.900;  2.100; -4.500;179.826;  0.331;  4.015;  0.001;  0.999;  0.035;  0.002;FREE
1549131461.2399538;  0.069;  0.037;-10.224;  0.056;  0.011;  0.001; 18.900;  2.100; -4.500;179.863;  0.338;  4.491;  0.001;  0.999;  0.039;  0.002;FREE
1549131461.2589564;  0.050;  0.011;-10.199;  0.057;  0.011;  0.001; 18.900;  2.100; -4.500;179.865;  0.303;  4.864;  0.001;  0.999;  0.042;  0.002;FREE
1549131461.279242;  0.094;  0.008;-10.232;  0.055;  0.011;  0.001; 18.900;  2.100; -4.500;179.841;  0.383;  5.159;  0.001;  0.998;  0.045;  0.003;FREE
1549131461.300363;  0.047;  0.021;-10.229;  0.053;  0.011;  0.002; 19.800;  0.600; -4.200;179.862;  0.331;  3.787;  0.001;  0.999;  0.033;  0.002;FREE
1549131461.318852;  0.001;  0.010;-10.189;  0.059;  0.011;  0.001; 19.800;  0.600; -4.200;179.841;  0.194;  2.680;  0.001;  0.999;  0.023;  0.001;FREE
1549131461.3391974;  0.028;  0.025;-10.251;  0.059;  0.012;  0.001; 19.800;  0.600; -4.200;179.804;  0.172;  1.790;  0.001;  0.999;  0.015;  0.001;FREE
1549131461.3593225;  0.039;  0.015;-10.195;  0.057;  0.009;  0.001; 19.800;  0.600; -4.200;179.821;  0.187;  1.088;  0.001;  0.999;  0.009;  0.001;FREE
1549131461.3796957;  0.055;  0.057;-10.213;  0.058;  0.008;  0.001; 19.800;  0.600; -4.200;179.751;  0.229;  0.508;  0.002;  0.999;  0.004;  0.002;FREE
1549131461.399823;  0.062;  0.020;-10.183;  0.053;  0.011;  0.001; 18.300;  0.300; -8.099;179.787;  0.268;  0.604;  0.001;  0.999;  0.005;  0.002;FREE
1549131461.419331;  0.052;  0.038;-10.220;  0.057;  0.010;  0.001; 18.300;  0.300; -8.099;179.833;  0.270;  0.689;  0.001;  0.999;  0.006;  0.002;FREE
1549131461.439455;  0.033;  0.015;-10.206;  0.057;  0.011;  0.001; 18.300;  0.300; -8.099;179.810;  0.229;  0.731;  0.001;  0.999;  0.006;  0.002;FREE
1549131461.459577;  0.056;  0.033;-10.238;  0.053;  0.012;  0.002; 18.300;  0.300; -8.099;179.773;  0.254;  0.754;  0.001;  0.999;  0.006;  0.002;FREE
1549131461.4798167;  0.021;  0.001;-10.231;  0.052;  0.011;  0.002; 18.300;  0.300; -8.099;179.784;  0.192;  0.790;  0.001;  0.999;  0.006;  0.001;FREE
1549131461.4998126;  0.009;  0.002;-10.218;  0.054;  0.009;  0.001; 19.500;  0.300; -6.899;179.793;  0.087;  0.456;  0.001;  0.999;  0.003;  0.000;FREE
1549131461.5198178;  0.088;  0.035;-10.154;  0.059;  0.012;  0.000; 19.500;  0.300; -6.899;179.833;  0.245;  0.202;  0.001;  0.999;  0.001;  0.002;FREE
1549131461.5398161;  0.057;  0.013;-10.204;  0.059;  0.011;  0.002; 19.500;  0.300; -6.899;179.811;  0.268;359.978;  0.001;  0.999;  0.000;  0.002;FREE
1549131461.5598173;  0.007;  0.023;-10.220;  0.054;  0.010;  0.002; 19.500;  0.300; -6.899;179.838;  0.170;359.814;  0.001;  0.999;  0.001;  0.001;FREE
1549131461.5798879;  0.094;  0.013;-10.230;  0.057;  0.010;  0.002; 19.500;  0.300; -6.899;179.816;  0.307;359.667;  0.001;  0.999;  0.002;  0.002;FREE
1549131461.5999544;  0.064;  0.034;-10.247;  0.058;  0.010;  0.001; 19.500;  0.900; -6.300;179.852;  0.318;  0.274;  0.001;  0.999;  0.002;  0.002;FREE
1549131461.6189504;  0.044;  0.005;-10.198;  0.057;  0.011;  0.002; 19.500;  0.900; -6.300;179.849;  0.280;  0.748;  0.001;  0.999;  0.006;  0.002;FREE
1549131461.6399515;  0.040;  0.017;-10.256;  0.051;  0.011;  0.002; 19.500;  0.900; -6.300;179.864;  0.249;  1.132;  0.001;  0.999;  0.009;  0.002;FREE
1549131461.6599529;  0.043;  0.008;-10.206;  0.055;  0.009;  0.002; 19.500;  0.900; -6.300;179.862;  0.237;  1.436;  0.001;  0.999;  0.012;  0.002;FREE
1549131461.6799526;  0.053;  0.021;-10.248;  0.058;  0.009;  0.001; 19.500;  0.900; -6.300;179.873;  0.254;  1.685;  0.001;  0.999;  0.014;  0.002;FREE
1549131461.6999512;  0.063;  0.011;-10.245;  0.057;  0.010;  0.001; 18.600;  0.000; -7.800;179.872;  0.287;  1.353;  0.001;  0.999;  0.011;  0.002;FREE
1549131461.7199526;  0.002;  0.014;-10.214;  0.055;  0.011;  0.001; 18.600;  0.000; -7.800;179.876;  0.169;  1.087;  0.001;  0.999;  0.009;  0.001;FREE
1549131461.7399526;  0.014;  0.011;-10.213;  0.054;  0.011;  0.001; 18.600;  0.000; -7.800;179.877;  0.126;  0.874;  0.001;  0.999;  0.007;  0.001;FREE
1549131461.7599516;  0.068;  0.007;-10.223;  0.056;  0.012;  0.001; 18.600;  0.000; -7.800;179.870;  0.220;  0.702;  0.001;  0.999;  0.006;  0.001;FREE
1549131461.7799542;  0.045;  0.034;-10.226;  0.059;  0.013;  0.001; 18.600;  0.000; -7.800;179.894;  0.224;  0.577;  0.000;  0.999;  0.005;  0.001;FREE
1549131461.7999542;  0.011;  0.008;-10.244;  0.059;  0.011;  0.001; 19.200;  1.200; -6.000;179.883;  0.151;  1.178;  0.001;  0.999;  0.010;  0.001;FREE
1549131461.8199527;  0.062;  0.007;-10.207;  0.057;  0.011;  0.001; 19.200;  1.200; -6.000;179.858;  0.221;  1.655;  0.001;  0.999;  0.014;  0.001;FREE
1549131461.8399527;  0.029;  0.037;-10.239;  0.055;  0.011;  0.001; 19.200;  1.200; -6.000;179.890;  0.187;  2.052;  0.000;  0.999;  0.017;  0.001;FREE
1549131461.8599517;  0.010;  0.040;-10.202;  0.056;  0.011;  0.001; 19.200;  1.200; -6.000;179.920;  0.124;  2.370;  0.000;  0.999;  0.020;  0.001;FREE
1549131461.8799527;  0.070;  0.032;-10.193;  0.057;  0.011;  0.001; 19.200;  1.200; -6.000;179.930;  0.222;  2.623;  0.000;  0.999;  0.022;  0.001;FREE
1549131461.8999562;  0.057;  0.019;-10.219;  0.057;  0.009;  0.002; 18.000;  1.200; -6.000;179.925;  0.253;  2.868;  0.000;  0.999;  0.025;  0.002;FREE
1549131461.9199514;  0.050;  0.009;-10.219;  0.055;  0.012;  0.001; 18.000;  1.200; -6.000;179.891;  0.255;  3.054;  0.000;  0.999;  0.026;  0.002;FREE
1549131461.9399545;  0.067;  0.004;-10.211;  0.057;  0.012;  0.001; 18.000;  1.200; -6.000;179.877;  0.293;  3.208;  0.000;  0.999;  0.027;  0.002;FREE
1549131461.9639535;  0.034;  0.008;-10.232;  0.057;  0.013;  0.001; 18.000;  1.200; -6.000;179.854;  0.243;  3.326;  0.001;  0.999;  0.029;  0.002;FREE
1549131461.9829514;  0.022;  0.004;-10.226;  0.057;  0.011;  0.002; 18.000;  1.200; -6.000;179.850;  0.186;  3.424;  0.001;  0.999;  0.029;  0.001;FREE
1549131462.0019531;  0.067;  0.015;-10.201;  0.055;  0.010;  0.002; 18.900;  0.900; -6.300;179.823;  0.254;  3.278;  0.001;  0.999;  0.028;  0.002;FREE
1549131462.0199516;  0.044;  0.027;-10.180;  0.057;  0.010;  0.001; 18.900;  0.900; -6.300;179.850;  0.242;  3.177;  0.001;  0.999;  0.027;  0.002;FREE
1549131462.0399513;  0.041;  0.034;-10.193;  0.058;  0.011;  0.002; 18.900;  0.900; -6.300;179.879;  0.228;  3.099;  0.000;  0.999;  0.027;  0.002;FREE
1549131462.0599515;  0.063;  0.011;-10.226;  0.055;  0.011;  0.001; 18.900;  0.900; -6.300;179.877;  0.269;  3.029;  0.001;  0.999;  0.026;  0.002;FREE
1549131462.0809512;  0.073;  0.004;-10.206;  0.053;  0.011;  0.002; 18.900;  0.900; -6.300;179.869;  0.316;  2.970;  0.001;  0.999;  0.025;  0.002;FREE
1549131462.100967;  0.050;  0.015;-10.230;  0.055;  0.010;  0.002; 19.500;  1.500; -6.300;179.875;  0.292;  3.261;  0.001;  0.999;  0.028;  0.002;FREE
1549131462.1199524;  0.014;  0.008;-10.190;  0.058;  0.011;  0.001; 19.500;  1.500; -6.300;179.852;  0.198;  3.485;  0.001;  0.999;  0.030;  0.001;FREE
1549131462.139953;  0.035;  0.008;-10.195;  0.053;  0.012;  0.001; 19.500;  1.500; -6.300;179.855;  0.187;  3.670;  0.001;  0.999;  0.032;  0.001;FREE
1549131462.1599538;  0.037;  0.038;-10.194;  0.056;  0.010;  0.001; 19.500;  1.500; -6.300;179.888;  0.183;  3.830;  0.000;  0.999;  0.033;  0.001;FREE
1549131462.1799533;  0.058;  0.016;-10.267;  0.058;  0.010;  0.001; 19.500;  1.500; -6.300;179.850;  0.233;  3.938;  0.001;  0.999;  0.034;  0.002;FREE
1549131462.2009525;  0.062;  0.019;-10.176;  0.059;  0.011;  0.001; 18.600;  0.600; -5.400;179.859;  0.270;  3.525;  0.001;  0.999;  0.030;  0.002;FREE
1549131462.2199543;  0.032;  0.002;-10.175;  0.059;  0.013;  0.001; 18.600;  0.600; -5.400;179.845;  0.225;  3.188;  0.001;  0.999;  0.027;  0.002;FREE
1549131462.2399511;  0.069;  0.009;-10.224;  0.055;  0.011;  0.001; 18.600;  0.600; -5.400;179.847;  0.281;  2.923;  0.001;  0.999;  0.025;  0.002;FREE
1549131462.2599545;  0.056;  0.002;-10.205;  0.056;  0.010;  0.002; 18.600;  0.600; -5.400;179.841;  0.286;  2.707;  0.001;  0.999;  0.023;  0.002;FREE
1549131462.2819512;  0.020;  0.025;-10.214;  0.055;  0.011;  0.002; 18.600;  0.600; -5.400;179.865;  0.208;  2.542;  0.001;  0.999;  0.022;  0.001;FREE
1549131462.2999518;  0.059;  0.007;-10.232;  0.055;  0.011;  0.001; 19.500;  0.300; -6.899;179.844;  0.250;  2.206;  0.001;  0.999;  0.019;  0.002;FREE
1549131462.319954;  0.062;  0.016;-10.189;  0.056;  0.011;  0.001; 19.500;  0.300; -6.899;179.817;  0.282;  1.934;  0.001;  0.999;  0.016;  0.002;FREE
1549131462.339953;  0.020;  0.001;-10.139;  0.059;  0.011;  0.001; 19.500;  0.300; -6.899;179.816;  0.206;  1.723;  0.001;  0.999;  0.015;  0.001;FREE
1549131462.3599527;  0.076;  0.009;-10.274;  0.058;  0.011;  0.001; 19.500;  0.300; -6.899;179.800;  0.286;  1.550;  0.001;  0.999;  0.013;  0.002;FREE
1549131462.379953;  0.095;  0.004;-10.241;  0.057;  0.010;  0.001; 19.500;  0.300; -6.899;179.794;  0.378;  1.414;  0.001;  0.999;  0.012;  0.003;FREE
